Total correct: 26
Accuracy: 0.426229508197
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,5,2,0,3,2,12
Electronic,0,2,2,1,0,5
Hip Hop:Rap,0,3,8,3,2,16
Jazz,2,2,0,4,1,9
Rock,6,3,2,1,7,19
All,13,12,12,12,12,61

Total correct: 31
Accuracy: 0.508196721311
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,6,2,1,0,3,12
Electronic,0,5,3,1,1,10
Hip Hop:Rap,0,2,5,1,1,9
Jazz,2,1,1,8,0,12
Rock,5,2,2,2,7,18
All,13,12,12,12,12,61

Total correct: 26
Accuracy: 0.426229508197
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,4,1,1,2,4,12
Electronic,2,3,1,2,0,8
Hip Hop:Rap,1,3,6,2,0,12
Jazz,2,4,0,5,0,11
Rock,4,1,4,1,8,18
All,13,12,12,12,12,61

Total correct: 35
Accuracy: 0.573770491803
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,6,2,0,2,0,10
Electronic,0,5,3,1,1,10
Hip Hop:Rap,0,2,7,1,1,11
Jazz,1,1,1,8,1,12
Rock,6,2,1,0,9,18
All,13,12,12,12,12,61

Total correct: 32
Accuracy: 0.524590163934
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,6,1,2,2,3,14
Electronic,1,4,2,0,1,8
Hip Hop:Rap,0,6,7,0,2,15
Jazz,1,1,0,9,0,11
Rock,5,0,1,1,6,13
All,13,12,12,12,12,61

Total correct: 30
Accuracy: 0.491803278689
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,5,1,1,3,4,14
Electronic,0,6,1,1,1,9
Hip Hop:Rap,0,1,8,1,1,11
Jazz,2,2,0,5,0,9
Rock,6,2,2,2,6,18
All,13,12,12,12,12,61

Total correct: 30
Accuracy: 0.491803278689
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,5,2,2,1,3,13
Electronic,1,4,1,2,0,8
Hip Hop:Rap,0,3,8,2,0,13
Jazz,3,1,0,5,1,10
Rock,4,2,1,2,8,17
All,13,12,12,12,12,61

Total correct: 29
Accuracy: 0.483333333333
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,3,0,3,2,1,9
Electronic,1,6,3,1,1,12
Hip Hop:Rap,0,2,6,1,2,11
Jazz,2,2,0,6,0,10
Rock,6,2,0,2,8,18
All,12,12,12,12,12,60

Total correct: 30
Accuracy: 0.5
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,6,1,1,0,6,14
Electronic,1,3,4,2,0,10
Hip Hop:Rap,0,2,7,1,0,10
Jazz,0,3,0,8,0,11
Rock,5,3,0,1,6,15
All,12,12,12,12,12,60

Total correct: 32
Accuracy: 0.533333333333
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,4,2,1,1,3,11
Electronic,0,3,1,1,0,5
Hip Hop:Rap,0,1,8,0,0,9
Jazz,2,3,0,9,1,15
Rock,6,3,2,1,8,20
All,12,12,12,12,12,60

Mean accuracy: 0.495928961749
