Total correct: 31
Accuracy: 0.508196721311
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,7,1,2,3,3,16
Electronic,0,5,1,2,0,8
Hip Hop:Rap,0,2,8,1,2,13
Jazz,2,2,0,5,1,10
Rock,4,2,1,1,6,14
All,13,12,12,12,12,61

Total correct: 30
Accuracy: 0.491803278689
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,7,3,1,2,3,16
Electronic,1,3,4,1,1,10
Hip Hop:Rap,1,4,5,1,0,11
Jazz,1,2,1,7,0,11
Rock,3,0,1,1,8,13
All,13,12,12,12,12,61

Total correct: 29
Accuracy: 0.475409836066
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,6,1,1,0,4,12
Electronic,3,3,1,2,0,9
Hip Hop:Rap,0,3,7,2,0,12
Jazz,2,4,0,5,0,11
Rock,2,1,3,3,8,17
All,13,12,12,12,12,61

Total correct: 39
Accuracy: 0.639344262295
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,10,1,0,2,1,14
Electronic,0,6,4,1,1,12
Hip Hop:Rap,0,2,7,1,2,12
Jazz,1,1,0,8,0,10
Rock,2,2,1,0,8,13
All,13,12,12,12,12,61

Total correct: 28
Accuracy: 0.459016393443
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,4,1,2,3,3,13
Electronic,1,5,2,0,3,11
Hip Hop:Rap,0,6,6,1,1,14
Jazz,3,0,1,8,0,12
Rock,5,0,1,0,5,11
All,13,12,12,12,12,61

Total correct: 32
Accuracy: 0.524590163934
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,8,3,2,4,4,21
Electronic,1,7,3,0,2,13
Hip Hop:Rap,0,1,7,1,1,10
Jazz,1,1,0,5,0,7
Rock,3,0,0,2,5,10
All,13,12,12,12,12,61

Total correct: 33
Accuracy: 0.540983606557
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,9,0,2,1,5,17
Electronic,0,4,0,2,0,6
Hip Hop:Rap,0,3,9,2,0,14
Jazz,3,2,0,5,1,11
Rock,1,3,1,2,6,13
All,13,12,12,12,12,61

Total correct: 32
Accuracy: 0.533333333333
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,5,0,2,2,2,11
Electronic,0,6,3,1,1,11
Hip Hop:Rap,1,4,7,1,2,15
Jazz,2,2,0,7,0,11
Rock,4,0,0,1,7,12
All,12,12,12,12,12,60

Total correct: 38
Accuracy: 0.633333333333
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,10,2,0,0,6,18
Electronic,1,4,2,2,0,9
Hip Hop:Rap,0,1,10,2,0,13
Jazz,0,3,0,8,0,11
Rock,1,2,0,0,6,9
All,12,12,12,12,12,60

Total correct: 36
Accuracy: 0.6
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,5,2,0,2,4,13
Electronic,0,5,1,1,1,8
Hip Hop:Rap,0,2,10,0,0,12
Jazz,2,2,0,9,0,13
Rock,5,1,1,0,7,14
All,12,12,12,12,12,60

Mean accuracy: 0.540601092896
